,dates,Class M,Class S,Class I,Class P,Policy Passed,Conflict Indicator
701,2004,1,0,0,0,0,0
702,2012,1,0,0,0,0,0
703,2006,1,0,0,0,0,1
704,1999,1,0,0,0,1,0
705,2010,1,0,0,0,0,1
706,2004,1,0,0,0,1,0
707,2019,1,0,0,0,0,1
708,2008,0,0,0,0,0,1
709,2011,0,0,0,0,0,0
710,1999,1,0,0,0,1,0
711,1996,1,0,0,0,1,0
712,2012,1,0,0,0,0,1
713,2001,0,0,0,0,0,0
714,2010,1,0,1,1,0,1
715,2014,1,0,0,0,0,0
716,1994,1,0,0,0,0,0
717,2007,1,0,0,0,1,0
718,1998,1,0,0,0,0,0
719,2014,1,0,0,0,1,1
720,2017,1,0,0,0,0,1
721,2001,1,0,0,0,1,0
722,2016,1,0,0,0,1,1
723,2017,1,0,0,0,1,1
724,2019,1,0,0,0,0,1
725,2002,1,0,0,0,1,0
726,1996,1,0,0,0,0,0
727,2015,1,0,0,0,0,1
728,2007,1,0,0,0,0,1
729,2002,0,0,0,0,0,0
730,2010,1,0,0,0,0,1
731,2005,2,0,0,0,0,0
732,2017,1,0,0,0,1,1
733,2005,1,0,0,1,0,1
734,2011,1,0,0,0,0,1
735,2004,1,0,1,0,0,1
736,1999,1,0,0,0,1,0
737,2014,1,0,0,0,0,1
738,1999,1,0,0,0,1,1
739,2000,1,0,0,0,0,1
740,2005,1,0,0,0,0,1
741,2002,1,0,0,0,0,0
742,2002,1,0,0,0,0,1
743,2012,1,0,1,1,0,1
744,1999,1,0,0,0,1,1
745,2019,1,0,0,0,0,1
746,2016,1,0,0,0,0,1
747,1994,1,0,0,0,1,0
748,1997,1,0,0,0,1,1
749,2014,1,1,0,0,0,0
750,2006,1,0,0,0,0,0
751,1998,1,0,0,0,1,1
752,2019,1,0,0,0,0,1
753,2016,1,0,0,0,0,1
754,2015,1,0,0,0,0,0
755,2001,1,0,1,0,0,1
756,1999,1,0,0,0,0,0
757,2000,1,0,0,0,0,1
758,1995,1,0,0,0,1,1
759,2009,1,0,0,0,0,0
760,1996,1,0,0,0,1,0
761,1995,1,0,0,0,0,0
762,2003,1,0,0,0,0,0
763,2006,1,0,0,0,0,0
764,1998,1,0,0,0,0,0
765,2002,1,0,0,0,1,0
766,2007,1,0,0,0,0,0
767,2016,1,0,0,0,0,0
768,1996,1,0,0,0,1,0
769,2011,1,1,0,0,0,1
770,1994,1,0,0,0,1,1
771,1999,1,0,0,0,0,1
772,2005,1,0,0,0,0,1
773,2006,1,0,0,0,0,1
774,2014,1,2,2,0,0,1
775,2001,0,0,0,0,0,0
776,1995,1,0,0,0,0,0
777,2018,1,0,0,0,0,0
778,2018,1,0,0,0,0,1
779,2018,1,0,0,0,0,0
780,2017,1,0,0,0,1,1
781,2004,1,0,1,0,0,1
782,2002,1,0,0,0,0,1
783,2007,1,0,0,1,0,1
784,2017,1,0,0,0,0,0
785,2018,1,0,0,0,0,0
786,2011,1,0,0,1,0,1
787,2014,1,0,0,0,1,0
788,1999,1,0,0,0,1,1
789,1997,1,0,0,0,1,0
790,2010,1,0,0,0,0,0
791,2018,1,0,0,0,0,1
792,1995,1,0,0,0,1,0
793,2013,1,0,0,0,0,0
794,2012,1,0,1,0,0,1
795,2007,1,0,0,1,0,1
796,2002,0,0,0,0,0,1
797,2011,1,0,0,0,0,0
798,2004,1,0,0,0,0,0
799,2003,1,0,1,0,0,1
800,2003,1,0,0,0,0,1
801,2005,1,0,0,0,1,0
802,2001,1,0,0,0,0,0
803,2006,1,0,0,0,0,0
804,2000,1,0,0,0,0,0
805,2005,0,0,0,0,0,0
806,2001,1,0,0,0,1,0
807,2001,1,0,1,1,0,1
808,2005,1,0,0,1,0,1
809,2009,1,0,0,0,1,1
810,1997,1,0,0,0,1,0
811,2013,1,0,0,0,0,0
812,2015,1,0,0,0,0,0
813,1998,1,0,0,0,1,1
