,meetings,dates,May I take it that the assembly wishes to take note of those items that remain open for consideration,The agenda was adopted,appoint a committee,I have been authorized to make the following statement on behalf of the committee,May I take it that the draft report as corrected is adopted by the council,point of order,amendment,A paragraph-by-paragraph vote on the draft resolution,refer the matter,postpone discussion to,postpone discussion indefinitely,The meeting was suspended,the meeting is adjourned,To withdraw the draft resolution,"In conformity with the usual practice, I propose, with consent of the council, to invite those representatives to participate in discussion",It is my understanding that the security council is ready to vote on the draft resolution before it,peacekeeping,peacemaking,sanctions,The draft resolution has been adopted,The draft resolution has not been adopted
903,pdf?symbol=en%2FS%2FPV.7496,2015,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
904,pdf?symbol=en%2FS%2FPV.3984,1999,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,0,0,1,0
905,pdf?symbol=en%2FS%2FPV.8272,2018,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
906,pdf?symbol=en%2FS%2FPV.4096,2000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,1,18,0,0
907,pdf?symbol=en%2FS%2FPV.3991,1999,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
908,pdf?symbol=en%2FS%2FPV.4794,2003,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
909,pdf?symbol=en%2FS%2FPV.7732,2016,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
910,pdf?symbol=en%2FS%2FPV.4550,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
911,pdf?symbol=en%2FS%2FPV.8184,2018,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
912,pdf?symbol=en%2FS%2FPV.3780,1997,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
913,pdf?symbol=en%2FS%2FPV.4629,2002,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
914,pdf?symbol=en%2FS%2FPV.5501,2006,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
915,pdf?symbol=en%2FS%2FPV.6286,2010,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
916,pdf?symbol=en%2FS%2FPV.4295,2001,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
917,pdf?symbol=en%2FS%2FPV.7716,2016,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
918,pdf?symbol=en%2FS%2FPV.8526,2019,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
919,pdf?symbol=en%2FS%2FPV.8264,2018,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,0,5,0,0
920,pdf?symbol=en%2FS%2FPV.7463,2015,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0
921,pdf?symbol=en%2FS%2FPV.7989,2017,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0
922,pdf?symbol=en%2FS%2FPV.5666,2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
923,pdf?symbol=en%2FS%2FPV.3782,1997,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
924,pdf?symbol=en%2FS%2FPV.8219,2018,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
925,pdf?symbol=en%2FS%2FPV.8336,2018,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
926,pdf?symbol=en%2FS%2FPV.3577,1995,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
927,pdf?symbol=en%2FS%2FPV.6744,2012,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
928,pdf?symbol=en%2FS%2FPV.5899,2008,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
929,pdf?symbol=en%2FS%2FPV.6775,2012,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
930,pdf?symbol=en%2FS%2FPV.8605,2019,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0
931,pdf?symbol=en%2FS%2FPV.5981,2008,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,1,0
932,pdf?symbol=en%2FS%2FPV.4309,2001,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0
933,pdf?symbol=en%2FS%2FPV.3818,1997,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
934,pdf?symbol=en%2FS%2FPV.3469,1994,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
935,pdf?symbol=en%2FS%2FPV.7800,2016,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
936,pdf?symbol=en%2FS%2FPV.5719,2007,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
937,pdf?symbol=en%2FS%2FPV.4324,2001,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
938,pdf?symbol=en%2FS%2FPV.7068,2013,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
939,pdf?symbol=en%2FS%2FPV.4712,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
940,pdf?symbol=en%2FS%2FPV.5816,2007,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
941,pdf?symbol=en%2FS%2FPV.7348,2014,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
942,pdf?symbol=en%2FS%2FPV.4828,2003,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
943,pdf?symbol=en%2FS%2FPV.6234,2009,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
944,pdf?symbol=en%2FS%2FPV.5232,2005,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
945,pdf?symbol=en%2FS%2FPV.4036,1999,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
946,pdf?symbol=en%2FS%2FPV.5687,2007,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
947,pdf?symbol=en%2FS%2FPV.7685,2016,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0
948,pdf?symbol=en%2FS%2FPV.8342,2018,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0
949,pdf?symbol=en%2FS%2FPV.4114,2000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
950,pdf?symbol=en%2FS%2FPV.4736,2003,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
951,pdf?symbol=en%2FS%2FPV.3411,1994,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
952,pdf?symbol=en%2FS%2FPV.5070,2004,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
953,pdf?symbol=en%2FS%2FPV.8452,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0
954,pdf?symbol=en%2FS%2FPV.6293,2010,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0
955,pdf?symbol=en%2FS%2FPV.3603,1995,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
956,pdf?symbol=en%2FS%2FPV.5685,2007,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0
957,pdf?symbol=en%2FS%2FPV.6985,2013,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0
958,pdf?symbol=en%2FS%2FPV.4976,2004,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0
959,pdf?symbol=en%2FS%2FPV.5325,2005,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
960,pdf?symbol=en%2FS%2FPV.6440,2010,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
961,pdf?symbol=en%2FS%2FPV.5671,2007,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
962,pdf?symbol=en%2FS%2FPV.5541,2006,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
963,pdf?symbol=en%2FS%2FPV.5020,2004,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
964,pdf?symbol=en%2FS%2FPV.6652,2011,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
965,pdf?symbol=en%2FS%2FPV.8343,2018,3,1,0,3,3,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0
966,pdf?symbol=en%2FS%2FPV.7568,2015,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
967,pdf?symbol=en%2FS%2FPV.6034,2008,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,18,0,0
968,pdf?symbol=en%2FS%2FPV.7129,2014,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,57,1,16,1,0
969,pdf?symbol=en%2FS%2FPV.6776,2012,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
970,pdf?symbol=en%2FS%2FPV.5870,2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
971,pdf?symbol=en%2FS%2FPV.5392,2006,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0
972,pdf?symbol=en%2FS%2FPV.4654,2002,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
973,pdf?symbol=en%2FS%2FPV.4655,2002,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0
974,pdf?symbol=en%2FS%2FPV.5535,2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
975,pdf?symbol=en%2FS%2FPV.3990,1999,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
976,pdf?symbol=en%2FS%2FPV.6107,2009,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
977,pdf?symbol=en%2FS%2FPV.8455,2019,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
978,pdf?symbol=en%2FS%2FPV.7957,2017,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,3,0,0
979,pdf?symbol=en%2FS%2FPV.4534,2002,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
980,pdf?symbol=en%2FS%2FPV.4583,2002,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
981,pdf?symbol=en%2FS%2FPV.7975,2017,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
982,pdf?symbol=en%2FS%2FPV.4895,2004,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
983,pdf?symbol=en%2FS%2FPV.3360,1994,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
984,pdf?symbol=en%2FS%2FPV.7368,2015,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
985,pdf?symbol=en%2FS%2FPV.5929,2008,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
986,pdf?symbol=en%2FS%2FPV.8233,2018,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1
987,pdf?symbol=en%2FS%2FPV.6781,2012,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
988,pdf?symbol=en%2FS%2FPV.7162,2014,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
989,pdf?symbol=en%2FS%2FPV.7592,2015,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
990,pdf?symbol=en%2FS%2FPV.7381,2015,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
991,pdf?symbol=en%2FS%2FPV.7939,2017,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,1,0
992,pdf?symbol=en%2FS%2FPV.4858,2003,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,0,0,0,0
993,pdf?symbol=en%2FS%2FPV.4173,2000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
994,pdf?symbol=en%2FS%2FPV.5259,2005,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
995,pdf?symbol=en%2FS%2FPV.8155,2018,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0
996,pdf?symbol=en%2FS%2FPV.4464,2002,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
997,pdf?symbol=en%2FS%2FPV.3910,1998,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
998,pdf?symbol=en%2FS%2FPV.6767,2012,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,78,0,0
999,pdf?symbol=en%2FS%2FPV.7409,2015,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000,pdf?symbol=en%2FS%2FPV.6469,2011,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1001,pdf?symbol=en%2FS%2FPV.3566,1995,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0
1002,pdf?symbol=en%2FS%2FPV.3683,1996,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
1003,pdf?symbol=en%2FS%2FPV.7387,2015,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1004,pdf?symbol=en%2FS%2FPV.4350,2001,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
1005,pdf?symbol=en%2FS%2FPV.3585,1995,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1006,pdf?symbol=en%2FS%2FPV.5991,2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1007,pdf?symbol=en%2FS%2FPV.8189,2018,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,1,0,0
1008,pdf?symbol=en%2FS%2FPV.4122,2000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1009,pdf?symbol=en%2FS%2FPV.3963,1999,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1010,pdf?symbol=en%2FS%2FPV.6693,2011,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
1011,pdf?symbol=en%2FS%2FPV.3567,1995,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1012,pdf?symbol=en%2FS%2FPV.4090,2000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,55,0,0
1013,pdf?symbol=en%2FS%2FPV.4961,2004,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
1014,pdf?symbol=en%2FS%2FPV.5224,2005,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1015,pdf?symbol=en%2FS%2FPV.6964,2013,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,72,0,0
1016,pdf?symbol=en%2FS%2FPV.8628,2019,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
1017,pdf?symbol=en%2FS%2FPV.4342,2001,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
1018,pdf?symbol=en%2FS%2FPV.6584,2011,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
1019,pdf?symbol=en%2FS%2FPV.8593,2019,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1020,pdf?symbol=en%2FS%2FPV.5137,2005,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
1021,pdf?symbol=en%2FS%2FPV.8145,2017,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1022,pdf?symbol=en%2FS%2FPV.6201,2009,0,1,0,0,1,0,0,0,0,0,0,1,0,0,2,1,1,0,0,0,0
1023,pdf?symbol=en%2FS%2FPV.4715,2003,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0
1024,pdf?symbol=en%2FS%2FPV.5359,2006,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,8,0,3,0,0
1025,pdf?symbol=en%2FS%2FPV.7158,2014,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1026,pdf?symbol=en%2FS%2FPV.6473,2011,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,3,0,0
1027,pdf?symbol=en%2FS%2FPV.4551,2002,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
1028,pdf?symbol=en%2FS%2FPV.6006,2008,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1029,pdf?symbol=en%2FS%2FPV.8325,2018,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0
1030,pdf?symbol=en%2FS%2FPV.5256,2005,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15,0,0
1031,pdf?symbol=en%2FS%2FPV.8341,2018,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13,0,0
1032,pdf?symbol=en%2FS%2FPV.4059,1999,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1033,pdf?symbol=en%2FS%2FPV.5378,2006,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1034,pdf?symbol=en%2FS%2FPV.5085,2004,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
1035,pdf?symbol=en%2FS%2FPV.6842,2012,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0
1036,pdf?symbol=en%2FS%2FPV.6030,2008,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1037,pdf?symbol=en%2FS%2FPV.4010,1999,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1038,pdf?symbol=en%2FS%2FPV.6538,2011,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1039,pdf?symbol=en%2FS%2FPV.3599,1995,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
1040,pdf?symbol=en%2FS%2FPV.4739,2003,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,36,5,2,0,0
1041,pdf?symbol=en%2FS%2FPV.7351,2014,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,0,22,1,0
1042,pdf?symbol=en%2FS%2FPV.7164,2014,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,8,0,0
1043,pdf?symbol=en%2FS%2FPV.8040,2017,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,14,1,0
1044,pdf?symbol=en%2FS%2FPV.6044,2008,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1045,pdf?symbol=en%2FS%2FPV.5531,2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1046,pdf?symbol=en%2FS%2FPV.6659,2011,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,2,2,0,2,0,0
1047,pdf?symbol=en%2FS%2FPV.6519,2011,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
1048,pdf?symbol=en%2FS%2FPV.3692,1996,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,42,0,0
1049,pdf?symbol=en%2FS%2FPV.3789,1997,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1050,pdf?symbol=en%2FS%2FPV.4489,2002,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
1051,pdf?symbol=en%2FS%2FPV.5595,2006,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1052,pdf?symbol=en%2FS%2FPV.5950,2008,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
1053,pdf?symbol=en%2FS%2FPV.6704,2012,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1054,pdf?symbol=en%2FS%2FPV.5280,2005,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
1055,pdf?symbol=en%2FS%2FPV.3939,1998,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,19,1,0
1056,pdf?symbol=en%2FS%2FPV.4743,2003,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
1057,pdf?symbol=en%2FS%2FPV.4000,1999,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1058,pdf?symbol=en%2FS%2FPV.6179,2009,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
1059,pdf?symbol=en%2FS%2FPV.7938,2017,3,1,0,3,3,0,1,0,0,0,0,0,0,0,3,0,72,1,29,0,0
1060,pdf?symbol=en%2FS%2FPV.4753,2003,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,13,3,3,0,0
1061,pdf?symbol=en%2FS%2FPV.8348,2018,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1062,pdf?symbol=en%2FS%2FPV.3378,1994,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1063,pdf?symbol=en%2FS%2FPV.7619,2016,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0
1064,pdf?symbol=en%2FS%2FPV.6318,2010,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1065,pdf?symbol=en%2FS%2FPV.6645,2011,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
1066,pdf?symbol=en%2FS%2FPV.7829,2016,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1067,pdf?symbol=en%2FS%2FPV.3634,1996,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
1068,pdf?symbol=en%2FS%2FPV.8223,2018,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1069,pdf?symbol=en%2FS%2FPV.3496,1995,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0
1070,pdf?symbol=en%2FS%2FPV.6148,2009,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
1071,pdf?symbol=en%2FS%2FPV.4035,1999,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,1,0
1072,pdf?symbol=en%2FS%2FPV.3720,1996,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1073,pdf?symbol=en%2FS%2FPV.3541,1995,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
1074,pdf?symbol=en%2FS%2FPV.6192,2009,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1075,pdf?symbol=en%2FS%2FPV.7412,2015,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0
1076,pdf?symbol=en%2FS%2FPV.6271,2010,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1077,pdf?symbol=en%2FS%2FPV.5730,2007,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
1078,pdf?symbol=en%2FS%2FPV.8475,2019,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
1079,pdf?symbol=en%2FS%2FPV.6542,2011,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
1080,pdf?symbol=en%2FS%2FPV.7165,2014,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0
1081,pdf?symbol=en%2FS%2FPV.7457,2015,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
1082,pdf?symbol=en%2FS%2FPV.3534,1995,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1083,pdf?symbol=en%2FS%2FPV.7423,2015,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1084,pdf?symbol=en%2FS%2FPV.4177,2000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
1085,pdf?symbol=en%2FS%2FPV.5624,2007,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1086,pdf?symbol=en%2FS%2FPV.7436,2015,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0
1087,pdf?symbol=en%2FS%2FPV.4438,2001,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,1,1
1088,pdf?symbol=en%2FS%2FPV.4315,2001,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
1089,pdf?symbol=en%2FS%2FPV.4480,2002,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
1090,pdf?symbol=en%2FS%2FPV.7315,2014,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1091,pdf?symbol=en%2FS%2FPV.4754,2003,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
1092,pdf?symbol=en%2FS%2FPV.3693,1996,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1093,pdf?symbol=en%2FS%2FPV.5398,2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1094,pdf?symbol=en%2FS%2FPV.8602,2019,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1095,pdf?symbol=en%2FS%2FPV.4904,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1096,pdf?symbol=en%2FS%2FPV.6687,2011,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1097,pdf?symbol=en%2FS%2FPV.6688,2011,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0
1098,pdf?symbol=en%2FS%2FPV.7805,2016,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1099,pdf?symbol=en%2FS%2FPV.5282,2005,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,50,5,0,0,0
