,May I take it that the assembly wishes to take note of those items that remain open for consideration,The agenda was adopted,Amend the agenda to,I have been authorized to make the following statement on behalf of the assembly,Refer the matter,Report of the Committee,Point of Order,Right of reply,To adjourn the debate,May I take it that it is the wish of the General Assembly to conclude its consideration,To suspend the meeting,To adjourn the meeting,To introduce a draft amendment to the draft resolution,The Assembly will now take a decision on draft resolution,Objection to consideration of the question,To withdraw,Reconsideration of the,Appoint a Committee,A recorded vote has been requested,A paragraph-by-paragraph vote on the draft resolution,Sanctions,Peacekeeping,Peacemaking,The draft resolution was adopted,meeting,date
42,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,A_C.4_68_SR.23-EN,2013
43,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,A_C.2_54_SR.16-EN,2000
44,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,1,A_64_PV.59-EN,2009
45,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,A_C.3_50_SR.49-EN,1996
46,0,0,0,0,0,0,2,0,0,0,0,0,11,11,0,0,0,0,1,11,2,0,0,1,A_C.3_51_SR.55-EN,1997
47,0,0,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,A_66_PV.27-EN,2011
48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,A_C.3_57_SR.36-EN,2002
49,0,0,0,0,0,0,0,3,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,A_69_PV.38-EN,2014
50,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_C.3_57_SR.25-EN,2003
51,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,10,0,0,0,0,A_C.3_73_SR.44-EN,2018
52,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18,0,0,A_C-5_64_SR-9-EN,2010
53,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,8,0,0,A_C-5_71_SR-2-EN,2016
54,2,0,0,2,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,A_C.1_65_PV.5-EN,2010
55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_66_PV.80-EN,2012
56,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,1,A_C-5_73_SR-35-EN,2019
57,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,A_C-5_71_SR-13-EN,2017
58,0,0,0,0,0,0,2,0,0,0,3,0,8,8,0,1,0,0,0,8,0,0,1,1,A_C.1_48_SR.30-EN,1994
59,0,0,0,0,0,0,2,0,0,3,0,0,2,2,0,0,0,2,2,2,0,0,0,0,A_70_PV-57-EN,2015
60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_C.2_55_SR.29-EN,2000
61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_C.3_57_SR.63-EN,2003
62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_C.2_50_SR.17-EN,1995
63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,A_C.3_68_SR.32-EN,2013
64,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_C.4_61_SR.26-EN,2007
65,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,A_HRC_1_SR.17-EN,2006
66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_C.3_70_SR.34-EN,2016
67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,A_66_PV.51-EN,2012
68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_C.3_52_SR.4-EN,1998
69,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,A_BUR_72_SR-3-EN,2018
70,0,0,0,0,0,5,0,0,0,0,0,0,1,1,0,1,0,1,1,1,13,0,0,0,A_C.3_51_SR.33-EN,1996
71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_54_PV.23-EN,1999
72,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,A_C.3_66_SR.33-EN,2012
73,0,0,0,0,0,11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,3,1,2,A_S-27_PV.6-EN,2002
74,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_AC-183_SR-381-EN,2017
75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_72_PV-110-EN,2018
76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,A_HRC_4_SR-16-EN,2007
77,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_C.6_54_SR.2-EN,1999
78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,A_69_PV.13-EN,2014
79,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,A_C.3_64_SR.33-EN,2009
80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_C-4_64_SR-28-EN,2010
81,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_74_PV.24-EN,2019
82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_C.2_57_SR.19-EN,2002
83,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_62_PV-108-EN,2008
84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,A_C.1_52_PV.5-EN,1997
85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_C.3_57_SR.62-EN,2003
86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_C.6_52_SR.13-EN,1998
87,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,1,0,0,0,0,10,0,0,0,A_C.1_73_PV.8-EN,2018
88,0,3,0,0,0,86,3,0,0,20,0,0,0,15,0,0,0,0,1,1,0,0,0,62,A_49_PV-92-EN,1994
89,0,0,0,0,0,0,4,0,0,0,0,0,1,1,0,0,0,0,3,3,0,0,0,1,A_C.1_56_PV.21-EN,2001
90,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,5,4,0,0,0,0,A_C.1_69_PV.24-EN,2014
91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_C.5_70_SR.22-EN,2016
92,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,A_C.1_55_PV.21-EN,2000
93,0,0,0,0,0,38,0,1,0,0,0,0,0,9,0,0,0,0,2,2,0,15,0,24,A_63_PV.93-EN,2009
94,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,A_49_PV-75-EN,1994
95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_C.3_49_SR.18-EN,1994
96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_C.2_49_SR.10-EN,1994
97,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_C.5_65_SR.14-EN,2011
98,0,0,0,0,0,0,0,2,0,0,0,0,11,11,0,0,0,0,0,11,0,1,0,0,A_C-3_59_SR-13-EN,2005
99,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_C.6_69_SR.22-EN,2014
100,1,0,0,0,0,0,0,2,0,1,0,0,2,1,0,1,0,0,4,4,0,0,0,1,A_C.1_49_PV.25-EN,1994
101,0,1,0,0,0,0,0,0,0,0,0,0,9,9,0,1,0,0,0,9,5,0,0,2,A_C-2_72_SR-25-EN,2017
102,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,3,0,0,0,0,20,11,0,0,A_55_PV.27-EN,2000
103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_C.3_65_SR.2-EN,2010
